 Column Explanation:
-------------------------------------------------------------------------------------
ASPECT_SPLIT       : Aspect + split type (e.g. dorsal_r_train)
Classes            : Number of identity folders (unique IDs)
Samples            : Total number of images in the split
Min                : Minimum samples found in any class (and how many classes have this count)
Max                : Maximum samples found in any class (and how many classes have this count)
-------------------------------------------------------------------------------------

 11k Dataset Distribution Summary
=====================================================================================

 DORSAL_R
dorsal_r_train       | Classes:   72 | Samples:   890 | Min:  2 (1) | Max: 40 (2)
dorsal_l_query0      | Classes:   73 | Samples:   988 | Min:  3 (1) | Max: 51 (1)
dorsal_l_query1      | Classes:   73 | Samples:   988 | Min:  3 (1) | Max: 51 (1)
dorsal_l_query2      | Classes:   73 | Samples:   988 | Min:  3 (1) | Max: 51 (1)
dorsal_l_query3      | Classes:   73 | Samples:   988 | Min:  3 (1) | Max: 51 (1)
dorsal_l_query4      | Classes:   73 | Samples:   988 | Min:  3 (1) | Max: 51 (1)
dorsal_l_query5      | Classes:   73 | Samples:   988 | Min:  3 (1) | Max: 51 (1)
dorsal_l_query6      | Classes:   73 | Samples:   988 | Min:  3 (1) | Max: 51 (1)
dorsal_l_query7      | Classes:   73 | Samples:   988 | Min:  3 (1) | Max: 51 (1)
dorsal_l_query8      | Classes:   73 | Samples:   988 | Min:  3 (1) | Max: 51 (1)
dorsal_l_query9      | Classes:   73 | Samples:   988 | Min:  3 (1) | Max: 51 (1)

 PALMAR_R
palmar_r_gallery0    | Classes:   71 | Samples:    71 | Min:  1 (71) | Max:  1 (71)
palmar_r_gallery1    | Classes:   71 | Samples:    71 | Min:  1 (71) | Max:  1 (71)
palmar_r_gallery2    | Classes:   71 | Samples:    71 | Min:  1 (71) | Max:  1 (71)
palmar_r_gallery3    | Classes:   71 | Samples:    71 | Min:  1 (71) | Max:  1 (71)
palmar_r_gallery4    | Classes:   71 | Samples:    71 | Min:  1 (71) | Max:  1 (71)
palmar_r_gallery5    | Classes:   71 | Samples:    71 | Min:  1 (71) | Max:  1 (71)
palmar_r_gallery6    | Classes:   71 | Samples:    71 | Min:  1 (71) | Max:  1 (71)
palmar_r_gallery7    | Classes:   71 | Samples:    71 | Min:  1 (71) | Max:  1 (71)
palmar_r_gallery8    | Classes:   71 | Samples:    71 | Min:  1 (71) | Max:  1 (71)
palmar_r_gallery9    | Classes:   71 | Samples:    71 | Min:  1 (71) | Max:  1 (71)
palmar_r_query0      | Classes:   71 | Samples:   917 | Min:  3 (2) | Max: 53 (1)
palmar_r_query1      | Classes:   71 | Samples:   917 | Min:  3 (2) | Max: 53 (1)
palmar_r_query2      | Classes:   71 | Samples:   917 | Min:  3 (2) | Max: 53 (1)
palmar_r_query3      | Classes:   71 | Samples:   917 | Min:  3 (2) | Max: 53 (1)
palmar_r_query4      | Classes:   71 | Samples:   917 | Min:  3 (2) | Max: 53 (1)
palmar_r_query5      | Classes:   71 | Samples:   917 | Min:  3 (2) | Max: 53 (1)
palmar_r_query6      | Classes:   71 | Samples:   917 | Min:  3 (2) | Max: 53 (1)
palmar_r_query7      | Classes:   71 | Samples:   917 | Min:  3 (2) | Max: 53 (1)
palmar_r_query8      | Classes:   71 | Samples:   917 | Min:  3 (2) | Max: 53 (1)
palmar_r_query9      | Classes:   71 | Samples:   917 | Min:  3 (2) | Max: 53 (1)

 PALMAR_L
palmar_l_gallery0    | Classes:   75 | Samples:    75 | Min:  1 (75) | Max:  1 (75)
palmar_l_gallery1    | Classes:   75 | Samples:    75 | Min:  1 (75) | Max:  1 (75)
palmar_l_gallery2    | Classes:   75 | Samples:    75 | Min:  1 (75) | Max:  1 (75)
palmar_l_gallery3    | Classes:   75 | Samples:    75 | Min:  1 (75) | Max:  1 (75)
palmar_l_gallery4    | Classes:   75 | Samples:    75 | Min:  1 (75) | Max:  1 (75)
palmar_l_gallery5    | Classes:   75 | Samples:    75 | Min:  1 (75) | Max:  1 (75)
palmar_l_gallery6    | Classes:   75 | Samples:    75 | Min:  1 (75) | Max:  1 (75)
palmar_l_gallery7    | Classes:   75 | Samples:    75 | Min:  1 (75) | Max:  1 (75)
palmar_l_gallery8    | Classes:   75 | Samples:    75 | Min:  1 (75) | Max:  1 (75)
palmar_l_gallery9    | Classes:   75 | Samples:    75 | Min:  1 (75) | Max:  1 (75)
palmar_l_query0      | Classes:   75 | Samples:   948 | Min:  3 (1) | Max: 38 (1)
palmar_l_query1      | Classes:   75 | Samples:   948 | Min:  3 (1) | Max: 38 (1)
palmar_l_query2      | Classes:   75 | Samples:   948 | Min:  3 (1) | Max: 38 (1)
palmar_l_query3      | Classes:   75 | Samples:   948 | Min:  3 (1) | Max: 38 (1)
palmar_l_query4      | Classes:   75 | Samples:   948 | Min:  3 (1) | Max: 38 (1)
palmar_l_query5      | Classes:   75 | Samples:   948 | Min:  3 (1) | Max: 38 (1)
palmar_l_query6      | Classes:   75 | Samples:   948 | Min:  3 (1) | Max: 38 (1)
palmar_l_query7      | Classes:   75 | Samples:   948 | Min:  3 (1) | Max: 38 (1)
palmar_l_query8      | Classes:   75 | Samples:   948 | Min:  3 (1) | Max: 38 (1)
palmar_l_query9      | Classes:   75 | Samples:   948 | Min:  3 (1) | Max: 38 (1)

 Log saved to: result_logs/dataset_11k_summary.txt
